,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
722,0.11470718383789062,0.002974438927870893,0.010177516937255859,0.0004306852130807876,,gini,34,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 34, 'n_estimators': 50}",0.9222222222222223,0.9,0.9074074074074074,0.9033457249070632,0.8736059479553904,0.9013162604984167,0.01579793654235887,41
275,0.2153019905090332,0.006848349185746718,0.017969369888305664,0.0003844918405652497,balanced,gini,20,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'n_estimators': 100}",0.9111111111111111,0.9,0.8925925925925926,0.9070631970260223,0.8921933085501859,0.9005920418559825,0.007581650090153291,42
687,0.22841448783874513,0.0038057468417916373,0.01898021697998047,0.0005561647057349895,,gini,25,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 25, 'n_estimators': 100}",0.9111111111111111,0.9037037037037037,0.8962962962962963,0.9033457249070632,0.8884758364312267,0.9005865344898802,0.007657306836579065,43
719,0.22346835136413573,0.005366855488042068,0.018253469467163087,0.00023562856908817913,,gini,33,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 33, 'n_estimators': 100}",0.9148148148148149,0.9037037037037037,0.9,0.9033457249070632,0.8810408921933085,0.900581027123778,0.010974058870889576,44
726,0.11248064041137695,0.005135870971765656,0.009978580474853515,9.130994572154921e-05,,gini,35,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 35, 'n_estimators': 50}",0.9185185185185185,0.9,0.9074074074074074,0.9033457249070632,0.8736059479553904,0.9005755197576759,0.014859266174007086,45
690,0.11280641555786133,0.002345970444535784,0.010486555099487305,0.0006931850405850053,,gini,26,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 26, 'n_estimators': 50}",0.9185185185185185,0.8925925925925926,0.9,0.8996282527881041,0.8884758364312267,0.8998430400660885,0.010301714153141238,46
471,0.2547624111175537,0.00359366940079557,0.018405580520629884,0.0004032591182235847,,entropy,20,100,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}",0.9222222222222223,0.9,0.8888888888888888,0.9070631970260223,0.8810408921933085,0.8998430400660883,0.014328274771005622,47
675,0.22514219284057618,0.002359742687211905,0.018745946884155273,0.0002892385641740404,,gini,22,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 22, 'n_estimators': 100}",0.9222222222222223,0.8925925925925926,0.8962962962962963,0.9070631970260223,0.8810408921933085,0.8998430400660883,0.013940068902755582,47
307,0.227293062210083,0.002732455484936203,0.018721342086791992,7.99856490591681e-05,balanced,gini,28,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 28, 'n_estimators': 100}",0.9222222222222223,0.9074074074074074,0.8888888888888888,0.9070631970260223,0.8736059479553904,0.8998375326999861,0.016843731133930544,49
79,0.2727447509765625,0.0031535154280585742,0.020197153091430664,0.0011565167286301788,balanced,entropy,20,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'n_estimators': 100}",0.9259259259259259,0.9,0.8962962962962963,0.9107806691449815,0.8661710037174721,0.8998347790169351,0.019729968996792885,50
686,0.11210284233093262,0.005485248623706411,0.01035919189453125,0.0004965772321078464,,gini,25,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 25, 'n_estimators': 50}",0.9222222222222223,0.9037037037037037,0.8962962962962963,0.8996282527881041,0.8773234200743495,0.8998347790169351,0.014390906753858356,50
714,0.11484789848327637,0.004682124346601233,0.010060977935791016,0.00015556116380874914,,gini,32,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 32, 'n_estimators': 50}",0.9185185185185185,0.9,0.9037037037037037,0.8996282527881041,0.8773234200743495,0.8998347790169351,0.013197590177705056,50
294,0.11109333038330078,0.0015001224804417756,0.010826826095581055,0.0016583209436772447,balanced,gini,25,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 25, 'n_estimators': 50}",0.9296296296296296,0.9,0.9,0.8996282527881041,0.8698884758364313,0.8998292716508329,0.018892386268471825,53
683,0.2273552417755127,0.008278828898446788,0.01954193115234375,0.0018415507561465082,,gini,24,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 24, 'n_estimators': 100}",0.9148148148148149,0.9,0.8925925925925926,0.9070631970260223,0.8810408921933085,0.8991022993253475,0.011658950304760518,54
278,0.11355066299438477,0.006281694541194568,0.01002960205078125,0.0002554617593128046,balanced,gini,21,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}",0.9148148148148149,0.8925925925925926,0.9,0.9070631970260223,0.8810408921933085,0.8991022993253475,0.011658950304760518,54
335,0.22710213661193848,0.004713501330992701,0.01894040107727051,0.0005313914967035979,balanced,gini,35,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 35, 'n_estimators': 100}",0.9185185185185185,0.9,0.8925925925925926,0.9070631970260223,0.8773234200743495,0.8990995456422965,0.013841005394994384,56
119,0.28561949729919434,0.004650193938700011,0.019232988357543945,0.0008386601581875078,balanced,entropy,30,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 30, 'n_estimators': 100}",0.9185185185185185,0.8925925925925926,0.9,0.9070631970260223,0.8773234200743495,0.8990995456422965,0.013841005394994384,56
331,0.22427287101745605,0.0036488969500192737,0.01941256523132324,0.0018642053830691568,balanced,gini,34,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 34, 'n_estimators': 100}",0.9185185185185185,0.9,0.8925925925925926,0.9070631970260223,0.8773234200743495,0.8990995456422965,0.013841005394994384,56
699,0.22150378227233886,0.004835307085541815,0.01960749626159668,0.0026223209852221266,,gini,28,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 28, 'n_estimators': 100}",0.9148148148148149,0.9074074074074074,0.8888888888888888,0.9070631970260223,0.8773234200743495,0.8990995456422965,0.013841005394994407,56
191,0.28181896209716795,0.00644316335332475,0.018659257888793947,0.0002692110689021799,balanced,entropy,48,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 48, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
87,0.27358136177062986,0.003473454659115964,0.018786191940307617,0.0015235061973414097,balanced,entropy,22,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 22, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
147,0.2788126468658447,0.004331420806890456,0.01845383644104004,0.0004991041801926944,balanced,entropy,37,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 37, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
103,0.28200559616088866,0.004450561122952273,0.018568801879882812,0.00044945460970390846,balanced,entropy,26,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 26, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
343,0.22667627334594725,0.004158214652576389,0.01872544288635254,0.0007124420358396365,balanced,gini,37,100,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 37, 'n_estimators': 100}",0.9222222222222223,0.9,0.8925925925925926,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.016069552929255364,60
163,0.2800943374633789,0.0024566374736107155,0.019275188446044922,0.0014617069099917097,balanced,entropy,41,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 41, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
167,0.2826411247253418,0.008328174289370585,0.01810741424560547,0.0001136061902558531,balanced,entropy,42,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 42, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
171,0.2832961082458496,0.0067288585731218094,0.018549633026123048,0.000323608248661403,balanced,entropy,43,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 43, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
143,0.2820716857910156,0.004931130720277,0.018338871002197266,0.0001759778111111668,balanced,entropy,36,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 36, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
127,0.2823173046112061,0.004081143705320887,0.018849658966064452,0.0009502000514632806,balanced,entropy,32,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 32, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
175,0.2822197437286377,0.006706648204161254,0.01917400360107422,0.0009271195473886242,balanced,entropy,44,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 44, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
179,0.28317484855651853,0.007191803596785081,0.018921852111816406,0.001155284812229025,balanced,entropy,45,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 45, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
131,0.28741111755371096,0.009891961987460278,0.019705772399902344,0.0008351160915555931,balanced,entropy,33,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 33, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
290,0.11518077850341797,0.006754698175103539,0.010087728500366211,0.00016218387699402361,balanced,gini,24,50,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 24, 'n_estimators': 50}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
183,0.2806668758392334,0.0029121773111561813,0.01866803169250488,0.0002146527155773567,balanced,entropy,46,100,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 46, 'n_estimators': 100}",0.9185185185185185,0.8962962962962963,0.9,0.9070631970260223,0.8736059479553904,0.8990967919592455,0.014826387024377156,60
