,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
181,0.0040128231048583984,5.691027011986527e-05,0.0013937950134277344,2.058368545282692e-05,,gini,35,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 35}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
194,0.004002618789672852,4.4450175730204615e-05,0.0013578414916992187,1.0172848895035876e-05,,gini,48,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 48}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
179,0.004056787490844727,5.787447844581218e-05,0.0013801097869873048,2.022970052875859e-05,,gini,33,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 33}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
178,0.00402989387512207,6.767066916949485e-05,0.0013692855834960937,7.803830164138331e-06,,gini,32,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 32}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
172,0.0039767265319824215,4.3221178664250154e-05,0.0013829708099365235,1.9913075981022595e-05,,gini,26,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 26}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
173,0.004062509536743164,6.098346458430448e-05,0.001371908187866211,2.913447721762221e-05,,gini,27,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 27}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
174,0.004013156890869141,6.042744168394044e-05,0.0013579845428466797,6.435358672617269e-06,,gini,28,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 28}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
177,0.004054403305053711,4.466938625770623e-05,0.00137481689453125,2.3729344961210926e-05,,gini,31,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 31}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
175,0.00435481071472168,0.0005874593652550954,0.0014609813690185547,0.0001257997643228185,,gini,29,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 29}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
183,0.00404205322265625,5.767711570222476e-05,0.0013872623443603516,2.1055802877110635e-05,,gini,37,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 37}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
171,0.004028606414794922,6.559092273612224e-05,0.0013759613037109375,2.5132258711878085e-05,,gini,25,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 25}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
195,0.004042148590087891,4.7743521379198096e-05,0.0013664722442626952,2.5044892962403063e-05,,gini,49,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 49}",0.8629629629629629,0.8740740740740741,0.8777777777777778,0.8661710037174721,0.8364312267657993,0.8634834090596172,0.014531385058153112,73
121,0.004403829574584961,7.201346255742211e-05,0.0013737201690673829,2.1611509935100802e-05,,entropy,24,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 24}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.8327137546468402,0.8627509293680298,0.019842503155592977,98
146,0.004538822174072266,0.00024953924970716137,0.001373147964477539,1.2729498165339188e-05,,entropy,49,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 49}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
127,0.004465055465698242,7.689942072933354e-05,0.0013996124267578124,5.7457710190940245e-05,,entropy,30,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 30}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
126,0.004438209533691406,6.925087514194669e-05,0.0013609886169433593,5.458900429902527e-06,,entropy,29,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 29}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
125,0.0044361591339111325,9.402662921772354e-05,0.0013957500457763671,4.176353145116024e-05,,entropy,28,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 28}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
124,0.004427814483642578,9.056876328500615e-05,0.0013659000396728516,1.3182628726519695e-05,,entropy,27,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 27}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
123,0.004449272155761718,9.110517680280549e-05,0.0014121055603027344,9.484882010284304e-05,,entropy,26,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 26}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
130,0.004478883743286133,0.00012230695570759616,0.0013881206512451171,3.079622432358037e-05,,entropy,33,"{'class_weight': None, 'criterion': 'entropy', 'max_depth': 33}",0.8481481481481481,0.8666666666666667,0.8851851851851852,0.8810408921933085,0.828996282527881,0.8620074349442379,0.02099049811547801,99
